price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
2320,57,5282,242,32,168,3849,-210,38,2560
7525,293,12902,114,-3,101,2034,-117,124,6720
17850,406,32969,13,-1092,156,4561,-1105,44,16500
4955,36,2883,5,-21,14,210,-25,6,4255
7860,237,11546,65,93,67,1232,28,47,8005
5717,9,5220,14,-55,-4,354,-69,2,6160
9485,-154,3594,3,42,11,338,39,-18,13600
46250,164,4831,12,23,26,1242,11,20,46400
2043,10,2342,10,41,7,589,31,2,1960
4168,-16,2042,1,102,15,335,102,-8,3915
31350,1394,58362,58,-107,139,1493,-164,81,29550
4932,58,5716,9,-13,21,402,-22,13,5030
3230,83,3847,-18,-93,70,1060,-75,56,3185
3298,39,3930,7,66,36,580,59,14,3328
2790,39,3964,13,24,12,515,11,21,2855
9430,-136,16504,1,7,-11,350,7,-39,10270
76700,1374,25701,26,160,235,1337,134,163,74000
4230,178,7450,397,-398,277,4206,-796,83,3990
53100,787,13475,110,-193,238,2950,-303,228,47700
48975,1310,69639,33,-40,174,1851,-74,126,45650
2691,-25,1690,4,1,1,118,-3,-4,2393
1353,-15,264,1,-94,-1,311,-95,-6,1027
4387,101,4503,30,21,21,235,-9,15,4940
1253,12,1126,9,-95,9,513,-103,7,1065
954,-49,982,4,-21,-15,23,-25,-27,858
58950,999,76948,5,-6,46,604,-12,21,58200
1029,-53,1127,14,-38,-12,241,-52,-31,1103
37575,3185,124253,60,728,183,4490,668,205,38525
8930,-359,1733,0,-4,-12,202,-4,-13,6885
7865,146,5670,4,66,30,324,62,26,7840
6055,396,15984,1106,898,393,10907,-208,267,6475
40650,1350,110782,35691,33861,14632,151466,-1830,9000,38550
6115,-47,6050,30,302,-14,2052,272,-34,5315
5185,61,5906,50,-46,51,1459,-96,18,5355
12275,-142,5216,67,88,-7,426,21,-18,19500
84300,603,11579,38,335,202,1332,297,151,110900
134000,5133,86116,-626,-95,266,3608,531,266,129250
8770,1505,10256,21,-173,239,6662,-194,212,8185
27950,547,65653,8,80,32,842,73,18,32375
1690,-16,1426,0,15,5,287,15,-6,1778
8650,1184,24946,123,443,274,3392,319,282,8265
2273,41,4967,4,-5,29,672,-9,27,2255
1440,44,1774,2,-54,22,328,-56,8,1550
2515,-36,2025,1,75,9,251,74,-16,2520
6065,29,3695,18,38,10,321,20,5,6035
8515,-182,6897,75,54,-2,542,-21,-34,8600
93850,4377,231635,58,728,174,5531,670,220,95000
1540,20,1764,3,49,10,249,46,11,1435
249750,7296,223875,6578,9304,4105,42344,2726,5835,271500
879,-26,481,8,-3,-23,150,-10,-19,561
48750,1107,31507,50,303,299,4554,253,259,52550
119750,293,66770,236,-100,44,5292,-336,-14,158750
8045,128,11604,39,77,22,468,38,28,7465
2810,-67,3803,31,30,14,438,-1,-39,2855
57350,2768,192455,121,-208,231,12249,-329,192,57800
5810,169,7727,51,-74,43,599,-126,74,5495
4150,-255,318,64,76,-38,287,12,-185,4240
33400,592,11122,25,-28,47,237,-53,45,36100
167750,1160,65958,371,300,1470,21495,-71,907,199500
4063,54,1984,6,1,31,175,-5,27,4188
102350,3092,158078,161,-592,326,17064,-754,334,95450
11900,134,3529,781,1749,1272,14490,967,742,13425
12500,238,52416,91,27,10,176,-64,9,12225
6405,23,4318,4,5,32,466,2,13,7380
1836,14,1918,24,-10,23,807,-34,4,1758
