price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
12725,160,9271,99,290,117,869,191,47,14625
22025,867,34974,36,10,108,1860,-26,75,21200
4430,658,9423,58,-18,80,974,-75,89,4830
3756,158,6465,22,-108,24,573,-129,18,3728
5310,73,4173,2,15,8,76,13,7,11465
31475,1009,40893,129,136,275,2445,6,248,32000
39425,266,7380,36,43,140,995,7,108,36925
4302,490,4942,1305,1554,263,14571,249,961,4645
1233,69,1935,2,-18,47,635,-20,34,1143
95850,989,13529,801,1354,1209,6102,553,754,103100
9430,29,14493,9,453,50,3386,444,6,7815
3758,18,3566,25,-22,15,347,-47,2,2623
6855,118,2483,59,-50,165,2301,-110,179,8055
3028,55,1116,6,32,26,171,27,29,2740
6815,263,8790,4,18,24,115,14,19,6515
5656,174,9387,70,330,274,3131,260,126,4963
232000,2844,552308,2823,1277,2074,70594,-1546,1115,203000
18650,723,21969,29,3477,841,3313,3448,643,19625
6935,128,18183,161,64,-9,826,-96,25,7095
6275,164,13398,64,292,48,1531,228,24,6020
4841,267,10602,34,22,22,550,-13,26,4608
49400,532,58828,18,151,91,1434,134,49,49400
8495,170,8466,9,26,30,255,17,25,14250
4076,-70,1087,1,-1,19,658,-2,-61,3793
4323,-12,7733,8,-2,1,304,-10,-2,4183
12750,484,15705,4,70,60,340,65,61,12525
3645,108,4132,93,316,302,2431,223,194,3615
34725,473,15504,44,184,136,912,140,122,42550
3763,136,4858,22,80,16,239,58,24,2658
4033,-19,6877,63,215,40,1161,152,35,4023
2475,77,2281,5,-54,38,1089,-60,21,2568
566,-14,575,1,-4,-23,105,-5,-6,840
4780,168,9209,12,-53,40,915,-64,25,5075
2388,28,1753,5,-29,30,287,-35,11,2733
1751,-96,1534,80,168,-26,2273,87,-30,1538
3978,89,11843,185,-60,83,1601,-245,19,3600
9100,-347,8435,-25,66,-49,148,91,-49,9035
74900,1237,86270,102,225,84,1712,122,63,70350
3475,48,1237,5,2,63,459,-3,31,4620
1605,7,496,20,57,30,905,37,7,1778
4855,1,9411,29,54,21,455,26,-3,4895
73550,1472,60132,203,-65,222,1929,-268,153,68100
2873,-14,3478,15,-44,15,475,-59,-3,2850
241,-3,115,1,-22,-5,60,-23,-18,227
1440,-22,1837,54,14,28,575,-40,-18,1450
9660,38,3789,6,-75,24,838,-81,15,11500
9155,168,8422,8,-206,96,2894,-214,83,9715
6725,14,4081,1,11,2,199,10,1,6075
2336,-45,3313,10,29,1,212,19,-7,2238
34850,733,40061,59,118,170,1675,60,142,32850
26000,83,3939,280,-179,107,421,-459,69,27675
5735,-29,5198,10,3,3,409,-7,-5,5700
1985,16,848,-16,37,9,563,52,9,1870
612,-1000,49,16,-105,-45,87,-121,-333,465
4038,53,3537,11,-32,28,365,-43,24,3963
26075,395,11555,3,749,119,1366,746,403,28625
1463,22,618,14,-34,-2,198,-48,13,1220
4535,7,2504,6,-2,4,308,-8,3,7025
2078,-315,1990,27,15,-33,323,-12,-86,1940
1300,-17,1573,60,628,2,2365,568,-58,1353
674,-11,798,2,160,3,558,158,-9,643
2556,-251,963,0,-13,-8,30,-13,-46,2188
10675,-225,5161,35,-4382,124,16189,-4416,-469,12975
12350,424,13007,48,-208,49,863,-255,49,11975
131000,1108,117184,1242,5862,1370,67023,4620,1855,128750
16650,-225,2487,9,-36,-105,62,-45,-144,37025
5986,60,4439,263,472,409,5229,209,319,5523
63800,405,83866,7,46,68,1336,39,41,63650
4487,108,2222,24,56,42,159,32,54,5235
18550,146,7166,59,-184,233,6746,-243,164,21100
7940,48,2559,39,185,62,851,145,29,8990
29925,769,46795,7292,5421,4170,56117,-1871,2243,30775
4850,-127,2221,0,6,0,24,6,-19,4665
17850,41,7264,0,98,55,255,98,7,17550
8060,299,7976,64,184,205,1211,120,228,7705
9265,697,8761,1,-19,23,402,-20,28,9280
1813,-18,772,0,-10,-8,202,-10,-9,1725
2900,68,4708,5,59,13,434,54,10,2990
2070,225,1715,0,112,52,2473,112,225,2055
37850,53,3398,14,85,9,78,71,6,45850
61200,904,67044,99,18,44,2721,-82,65,73800
130750,917,77054,146,-158,48,2848,-304,36,135250
4117,-31,5151,15,-49,12,474,-64,-8,5820
1723,-51,1500,0,-93,-9,201,-94,-18,1418
4186,-425,1328,3,16,-29,-53,13,-70,3373
24725,108,9783,11,296,50,447,285,22,25725
11000,-134,11332,113,-2585,632,3866,-2698,392,10275
7885,7,3630,30,45,4,128,15,3,11425
14025,222,3225,8,-113,57,683,-121,36,24400
4691,91,5763,2,-1,8,255,-4,13,4613
10750,563,14497,46,89,93,562,44,85,8710
3873,30,1167,0,2,17,175,2,12,3740
13675,304,11006,2888,4427,2028,28820,1538,1325,14275
13850,1,10132,6,-60,14,282,-65,0,9680
7360,-217,960,1,-4,12,108,-4,-26,8025
1267,-37,516,1,-14,-9,-22,-16,-21,1420
560,116,403,2,64,55,166,62,89,618
5477,28,2426,0,26,-6,78,26,5,5685
596,-70,390,0,22,-9,223,22,-42,549
6370,682,8838,28,11,18,254,-17,95,6215
12325,139,14442,0,-13,13,90,-14,6,13800
1465,-39,1015,4,3,9,47,0,-9,1638
1128,-25,1406,1,14,0,204,14,-8,1098
1741,-51,645,-6,53,37,13,59,-37,1653
2025,43,1766,0,20,17,99,19,16,2250
12350,760,12218,17,-1802,349,1718,-1820,518,10725
1425,15,1903,88,-12,21,681,-101,13,1355
2880,51,2734,8,17,22,264,8,13,2938
5130,-20,7280,0,-1,10,131,-1,2,5030
4750,-236,1873,4,-40,-11,517,-44,-40,4765
20250,-66,15677,380,137,-7,749,-244,-11,26600
5476,58,1433,3,110,124,807,107,57,5318
1928,55,2169,2,3,7,133,1,14,1873
6080,121,3605,1,-33,21,535,-35,24,11110
1963,-37,3206,5,16,-12,295,12,-10,1928
4990,-23,4491,26,-88,-27,826,-114,-17,5103
7140,-742,19003,114,-58,-75,2740,-172,-149,7920
6693,-124,4503,8,-88,-17,841,-96,-21,4480
8635,80,9059,6,3,51,410,-3,15,6950
9985,58,6108,62,144,9,663,82,2,9650
107000,1708,53822,894,-2215,3955,11787,-3108,2352,118750
719,23,1078,1,-6,24,148,-8,23,632
18500,1109,18315,37,117,148,705,80,316,19025
17025,-125,26907,553,105,2368,34379,-448,375,16450
24600,-286,30223,52,-138,-61,1628,-190,-52,25125
32125,1770,36863,16096,12420,10269,70622,-3676,6795,30025
14150,89,12031,1079,261,-77,1424,-818,13,24100
16025,288,14611,186,315,291,3378,128,202,14925
273250,8368,234558,11538,7998,17070,230625,-3540,16154,288500
4502,-5,1690,4,-5,-3,150,-8,-1,4685
10340,-323,8406,6,51,-35,817,45,-54,10625
4395,-1180,6796,35,629,230,12125,595,-616,3980
5107,72,3508,2,12,12,134,10,6,5315
35025,607,15735,182,1076,1624,4230,894,1298,36200
4372,-81,672,0,10,-6,35,9,-16,4960
751500,6234,129838,695,1116,2908,10822,422,2109,851500
3378,-49,2496,2,-25,0,151,-27,-10,3015
11875,-168,6728,-3,86,217,-154,88,-52,17675
4920,-21,5010,3,-20,17,201,-23,0,5870
1965,-8,492,4,44,60,125,41,9,1925
131750,794,51263,204,942,383,4438,739,545,135000
203000,4634,152769,505,1048,535,5464,543,332,235550
6260,236,5879,97,432,286,3291,335,179,6255
1083,37,1395,7,372,244,2712,365,69,1223
9180,39,2126,0,63,57,257,63,14,12925
8605,-312,3946,10,19,-49,1157,9,-130,9720
7645,232,6276,20,20,28,169,-1,31,8535
1198,5,747,2,3,6,84,1,3,1713
1167,-6,396,1,6,0,87,5,-2,5175
2585,20,2773,0,7,7,46,7,5,4028
41775,571,27723,4,109,57,486,104,34,41825
7310,142,2392,5,-1,74,512,-6,40,6560
1338,-218,1363,1,-12,-24,29,-13,-41,2013
3772,39,746,597,-61,-2,580,-658,44,5385
43525,5384,109901,3753,12072,8267,77182,8319,5001,43050
178550,3007,39996,386,682,402,1239,296,322,181500
15100,58,35977,26,12,314,3830,-14,16,16025
2510,17,1763,182,205,75,1158,23,25,2465
