price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,binary
4033,132,251,-61,-241,0,-70,-179,-6,0
2475,-24,55,9,116,-12,68,108,-4,1
566,-32,-72,-1,0,12,1,1,-12,1
4780,21,287,4,113,-5,7,107,3,1
2388,7,38,-3,78,-1,1,82,3,1
1751,120,75,-43,9,29,407,53,32,0
3978,-196,-749,-32,282,-79,-231,314,-35,0
9100,469,-64,32,-189,56,159,-221,64,0
74900,512,2924,-48,-297,8,0,-248,24,0
3475,4,48,0,103,-13,14,103,3,1
1605,5,17,-14,-20,-9,-37,-5,5,1
4855,946,1142,17,-18,12,-42,-36,172,1
73550,157,2134,24,233,-24,-88,209,17,0
2873,84,-12,1,-15,8,-92,-17,20,0
241,3,-2,0,40,-4,50,40,17,0
1440,109,62,-17,35,10,75,52,88,1
9660,158,196,46,197,79,25,151,61,1
9155,131,310,94,27,81,257,-68,65,1
6725,100,116,11,-23,4,19,-34,4,0
2336,120,49,-9,-31,5,-6,-21,19,0
34850,692,1969,18,151,111,279,132,209,0
26000,-63,223,513,285,-85,-61,-228,-52,1
5735,23,-108,-3,-6,9,-51,-2,4,0
1985,-28,-12,35,-2,-6,-245,-35,-16,0
612,890,166,-16,79,18,-21,95,292,0
4038,-14,100,-4,69,-16,32,73,-7,0
26075,-79,329,4,-712,2,-8,-716,-79,1
1463,-28,-28,-13,17,8,-7,29,-17,0
4535,21,15,11,24,4,13,12,8,1
2078,163,-208,-26,-69,15,-28,-42,45,0
1300,32,76,-50,-596,62,-280,-546,72,1
674,45,64,1,-237,48,166,-238,48,0
2556,188,-73,0,40,0,11,40,34,0
10675,387,58,11,4539,0,-2629,4526,784,1
12350,-178,421,1,427,-2,-41,426,-21,0
131000,-475,14371,848,-5378,1184,6169,-6226,-739,0
16650,167,-50,-4,-14,63,-2,-10,107,1
5986,-22,129,304,-79,79,1096,-383,-119,0
63800,699,1436,5,94,54,20,89,70,0
4487,-37,46,-18,6,1,-5,24,-18,1
18550,180,493,-12,465,290,1505,477,224,1
7940,93,-59,1,-289,48,32,-289,57,1
29925,82,890,-3741,7894,303,2308,11634,338,1
4850,92,-29,1,0,-3,-3,-1,14,0
