price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
5735,23,-108,-3,-6,9,-51,-2,4,5700
1985,-28,-12,35,-2,-6,-245,-35,-16,1870
612,890,166,-16,79,18,-21,95,292,465
4038,-14,100,-4,69,-16,32,73,-7,3963
26075,-79,329,4,-712,2,-8,-716,-79,28625
1463,-28,-28,-13,17,8,-7,29,-17,1220
4535,21,15,11,24,4,13,12,8,7025
2078,163,-208,-26,-69,15,-28,-42,45,1940
1300,32,76,-50,-596,62,-280,-546,72,1353
674,45,64,1,-237,48,166,-238,48,643
2556,188,-73,0,40,0,11,40,34,2188
10675,387,58,11,4539,0,-2629,4526,784,12975
12350,-178,421,1,427,-2,-41,426,-21,11975
131000,-475,14371,848,-5378,1184,6169,-6226,-739,128750
16650,167,-50,-4,-14,63,-2,-10,107,37025
5986,-22,129,304,-79,79,1096,-383,-119,5523
63800,699,1436,5,94,54,20,89,70,63650
4487,-37,46,-18,6,1,-5,24,-18,5235
18550,180,493,-12,465,290,1505,477,224,21100
7940,93,-59,1,-289,48,32,-289,57,8990
29925,82,890,-3741,7894,303,2308,11634,338,30775
4850,92,-29,1,0,-3,-3,-1,14,4665
17850,264,70,1,-27,39,13,-27,64,17550
8060,-104,90,145,-185,-69,-285,-330,-51,7705
9265,56,683,0,132,-5,94,132,2,9280
1813,-799,-498,0,3,-10,24,3,-432,1725
2900,-1,5,-3,-53,-4,-135,-50,0,2990
2070,-177,-27,0,-324,44,302,-324,-177,2055
37850,32,72,19,-167,-1,18,-186,4,45850
61200,-746,-125,10,213,0,-327,204,-54,73800
130750,750,1658,-9,571,37,182,581,29,135250
4117,95,132,-5,124,-4,28,129,25,5820
1723,80,37,1,191,23,196,191,29,1418
4186,241,-60,1,-42,1,84,-43,38,3373
24725,313,17,-9,-416,75,113,-407,64,25725
11000,464,174,-81,6085,261,59,6167,281,10275
7885,69,75,-30,-51,27,99,-20,31,11425
14025,-311,-11,1,228,-54,-133,227,-50,24400
4691,-67,-50,-1,30,-3,-62,33,-10,4613
10750,-317,335,0,46,-40,-24,46,-46,8710
3873,3,28,1,4,6,32,3,1,3740
13675,8,311,-123,3690,52,1277,3813,37,14275
13850,412,515,-2,85,8,10,86,25,9680
7360,221,383,-1,-26,-6,47,-27,27,8025
1267,55,19,3,17,2,66,15,30,1420
560,-132,-8,-1,-103,-64,-128,-102,-102,618
5477,-11,24,0,-22,8,-5,-23,-2,5685
596,77,12,0,-31,15,18,-31,46,549
6370,-483,63,-9,6,-12,-101,15,-65,6215
12325,202,582,2,14,-2,-3,14,13,13800
1465,31,54,1,-30,-10,15,-32,7,1638
1128,65,56,1,-29,12,63,-32,21,1098
1741,-14,326,7,-90,-73,3,-96,-1,1653
2025,-25,19,0,-1,-12,-11,0,-9,2250
12350,-476,197,-10,1796,37,-147,1808,-284,10725
1425,-31,28,7,109,-53,-95,104,-27,1355
2880,17,211,27,-15,11,28,-41,7,2938
5130,-280,700,1,2,-6,6,1,-45,5030
4750,306,128,-1,92,22,80,92,52,4765
20250,635,711,-332,-242,149,556,91,117,26600
5476,42,79,1,-107,11,-86,-108,38,5318
1928,-6,76,1,-5,-2,-6,-6,-2,1873
6080,20,145,0,156,16,136,157,4,11110
1963,34,-12,2,-49,10,10,-52,9,1928
4990,-210,-339,-23,137,-7,-139,160,-46,5103
7140,558,259,17,57,0,-189,40,113,7920
6693,275,122,-5,91,50,-37,97,46,4480
8635,88,230,9,54,-16,-62,46,17,6950
9985,-13,-356,129,62,24,21,-68,2,9650
107000,290,2370,-533,6343,-90,-170,6874,395,118750
719,-20,-4,0,51,-24,-76,53,-20,632
18500,-540,590,-11,-58,-73,-47,-48,-154,19025
17025,-469,964,-1,-3132,691,3867,-3131,-636,16450
24600,731,475,-21,1161,146,396,1182,133,25125
32125,159,2267,1027,7103,-2226,-4333,6076,572,30025
14150,-303,-222,-314,-1001,-196,-25,-687,-311,24100
16025,150,441,-75,-444,97,298,-368,83,14925
273250,-2628,7808,-2556,14088,-6051,-10947,16644,-4934,288500
4502,-8,-13,-3,-6,-4,-18,-4,-3,4685
10340,355,72,5,-139,36,428,-145,59,10625
4395,1244,-26,-22,879,-66,-3057,900,713,3980
5107,134,189,0,-2,7,-4,-2,12,5315
35025,-91,499,-100,-1062,-269,-360,-963,-194,36200
4372,86,37,0,-3,7,5,-2,17,4960
751500,-981,20453,476,943,-56,474,467,-395,851500
3378,-13,-64,-1,6,-14,-11,7,1,3015
11875,511,94,28,197,-133,2302,169,169,17675
4920,-44,-78,8,20,-28,-20,12,-19,5870
1965,70,87,-2,39,-10,-17,40,55,1925
131750,-627,2116,-46,-229,63,246,-185,-420,135000
203000,626,7281,-135,88,112,170,223,21,235550
6260,1,240,33,-129,180,172,-163,89,6255
1083,6,-29,-7,537,-116,-282,543,2,1223
9180,47,106,0,-13,-19,-38,-13,15,12925
8605,698,551,18,329,216,372,311,280,9720
